"item_id",qty_available,"stock_status","active_status"
"SNW350101",0,"S","Y"
"SNW350139",0,"N","Y"
"SOU118",27,"S","Y"
"STR44101",0,"N","Y"
"STR65006",0,"N","Y"
"STR68300",0,"N","Y"
"STR74001",0,"N","Y"
"STR85115",0,"N","Y"
"TRJRX16",0,"N","Y"
"TRJSA09",0,"N","Y"
"TRJTA472",0,"N","Y"
"TRJTA63",0,"N","Y"
"TRJTA66",0,"S","Y"
"TRJTX21",0,"N","Y"
"UNC25520",0,"N","Y"
"BUT26113",36,"S","Y"
"UNC26993",11,"S","Y"
"UNC54241",0,"S","Y"
"UNC76101",1,"C","Y"
"UNC81072",8,"S","Y"
"UNC88411",12,"S","Y"
"UNC88491",53,"S","Y"
"UNC88801",0,"N","Y"
"UNC88804",0,"N","Y"
"WIL10G10",2,"S","Y"
"WIL31B",1,"S","Y"
"WIL349",0,"N","Y"
"WVR48041",0,"N","Y"
"WVR49218",0,"N","Y"
"WVR49239",0,"N","Y"
"WVR49306",0,"N","Y"
"WVR49523",0,"S","Y"
"WVR849399",0,"N","Y"
"ZSS5214909920",0,"N","Y"
"ZSS524515",0,"N","Y"
"REV13003",1,"S","Y"
"LET70208012K",0,"N","Y"
"LET78108003K",0,"N","Y"
"BERC61275",0,"N","Y"
"BERS5850373",0,"N","Y"
"BERS5850376",0,"N","Y"
"JTM4508GS",0,"N","Y"
"JTM4521S",0,"N","Y"
"JTM4537S",0,"N","Y"
"JTM4548AS",0,"N","Y"
"JTMAKSD01",0,"N","Y"
"JTMBW20",0,"N","Y"
"DACRPB270",0,"N","Y"
"FIV1202601910W",0,"N","Y"
"FIV12030120115",0,"N","Y"
"FIV120301204",0,"N","Y"
"FIV1203112011W",0,"N","Y"
"FIV120311207",0,"N","Y"
"FIV1203112095",0,"N","Y"
"FIV1211012013W",0,"N","Y"
"FIV121101207",0,"N","Y"
"FIV40004019M",0,"N","Y"
"FIV40006019L",0,"N","Y"
"FIV40007010XL",0,"N","Y"
"FIV40007170S",0,"N","Y"
"FIV40016165L",0,"N","Y"
"FIV400210103XL",0,"N","Y"
"FIV40021019S",0,"N","Y"
"FIV400527202XL",0,"N","Y"
"FIV41060477M",0,"N","Y"
"FIV41060860XL",0,"N","Y"
"FIV42056016L",0,"N","Y"
"FIV42056019S",0,"N","Y"
"FIV42056477S",0,"N","Y"
"FIV42056692XS",0,"N","Y"
"FIV480010194XL",0,"N","Y"
"FIV48001477L",0,"N","Y"
"FIV480143203XL",0,"N","Y"
"FIV480177244XL",0,"N","Y"
"FIV48026019XS",0,"N","Y"
"FIV480333204XL",0,"N","Y"
"FIV48035019L",0,"N","Y"
"FIV48037320M",0,"N","Y"
"FIV48038019XS",0,"N","Y"
"FIV48038724S",0,"N","Y"
"FIV48063693M",0,"N","Y"
"FIV48300724L",0,"N","Y"
"FIV50028019",0,"N","Y"
"FIV59081019",0,"N","Y"
"FIV59146330",0,"N","Y"
"FIV594090192XL",0,"N","Y"
"FIV59501019L",0,"N","Y"
"FIV59501109S",0,"N","Y"
"FIV61164019XL",0,"N","Y"
"FIV61165010L",0,"N","Y"
"FIV61165724S",0,"N","Y"
"FIV61166019XL",0,"N","Y"
"FIV710027244XL",0,"N","Y"
"FIV71049010S",0,"N","Y"
"FIV71049019S",0,"N","Y"
"FIV71049160XS",0,"N","Y"
"FIV71049860XL",0,"N","Y"
"FIV711521202XL",0,"N","Y"
"FIV71152833XS",0,"N","Y"
"FIV71175018L",1,"S","Y"
"FIV711820162XL",0,"N","Y"
"FIV71182019M",0,"N","Y"
"FIV71182724XL",0,"N","Y"
"FIV713097203XL",0,"N","Y"
"FIV71322320XL",0,"N","Y"
"FIV720020192XL",0,"N","Y"
"FIV720021904XL",0,"N","Y"
"FIV72049160M",0,"N","Y"
"FIV720547243XL",0,"N","Y"
"FIV72157019XL",0,"N","Y"
"FIV721570552XL",0,"N","Y"
"FIV721571822XL",0,"N","Y"
"FIV72175019M",0,"N","Y"
"FIV721751622XL",0,"N","Y"
"FIV72175192L",0,"N","Y"
"FIV72175724XL",0,"N","Y"
"FIV723017202XL",0,"N","Y"
"FIV72360160L",0,"N","Y"
"FIV72360724XL",0,"N","Y"
"FIV89260019",0,"N","Y"
"FIV41060T016L",0,"N","Y"
"FIV42056T1604XL",0,"N","Y"
"FIV42056T724XL",0,"N","Y"
"FIV4305772436",0,"N","Y"
"FIV48057019M",0,"N","Y"
"FIV48057724S",0,"N","Y"
"FIV6307101918",0,"N","Y"
"FIV6307116216",0,"N","Y"
"FIV6430101910",0,"N","Y"
"FIV643010192L",0,"N","Y"
"FIV643027204L",0,"N","Y"
"FIV6430372014",0,"N","Y"
"FIV643037208",0,"N","Y"
"FIV643580198",0,"N","Y"
"FIV6435805520L",0,"N","Y"
"FIV6435818210L",0,"N","Y"
"FIV643587204L",0,"N","Y"
"FIV6435901914",0,"N","Y"
"FIV643590198",0,"N","Y"
"FIV6435972416L",0,"N","Y"
"FIV643597248",0,"N","Y"
"FIV6436001916L",0,"N","Y"
"FIV6436016210L",0,"N","Y"
"FIV643601622",0,"N","Y"
"ZIP142586",0,"N","Y"
"ZIP142744",0,"N","Y"
"ZIP24756ZL",0,"N","Y"
"ZIP24894",0,"N","Y"
"ZIP24940",0,"N","Y"
"ZIP28065",0,"N","Y"
"ZIP30028",0,"N","Y"
"ZIP41025",0,"N","Y"
"ZIP45004",0,"N","Y"
"ZIP45018",0,"N","Y"
"ZIPMGSGK",0,"N","Y"
"FIV743690193830",0,"N","Y"
"FIV743690553036",0,"N","Y"
"FIV743690553630",0,"N","Y"
"FIV743691903434",1,"S","Y"
"FIV743850182832",0,"N","Y"
"FIV743850184036",0,"N","Y"
"FIV743850552830",0,"N","Y"
"FIV743850554034",0,"N","Y"
"FIV743850554436",0,"N","Y"
"FIV743851904032",0,"N","Y"
"BUS132105C",1,"N","Y"
"BUS714164B",1,"S","Y"
"SIM119236C",0,"N","Y"
"HOG82080",23,"S","Y"
"CHA40632",0,"N","Y"
"CHA46104",0,"N","Y"
"GSK18204",0,"N","Y"
"LEU110805",1,"S","Y"
"LEU115004",1,"S","Y"
"LEU115237",1,"S","Y"
"LEU115473",5,"S","Y"
"BUR410678",2,"S","Y"
"BUR420159",0,"N","Y"
"TRJTR136",0,"N","Y"
"ATIA1401140",0,"N","Y"
"ATIA1401130",1,"S","Y"
"ATIA2401272",0,"N","Y"
"FIV1203201915",0,"N","Y"
"FIV120330197",0,"N","Y"
"FIV1203401913W",0,"N","Y"
"FIV120340199W",0,"N","Y"
"FIV1203701913",0,"N","Y"
"FIV1203701965",0,"N","Y"
"FIV1203701995W",0,"N","Y"
"FIV40111010M",0,"N","Y"
"FIV401117502XL",0,"N","Y"
"DACRPR746",0,"N","Y"
"DAC66W",0,"N","Y"
"KLBA176",22,"C","Y"
"REV12102",1,"S","Y"
"PROCARA2",245,"S","Y"
"PRORUGA9",210,"S","Y"
"CHA40903",0,"N","Y"
"BEREK68617",0,"N","Y"
"BERJM4PX4017",129,"S","Y"
"HOG73000",10,"S","Y"
"MTM802C40",0,"N","Y"
"MTMP503829",21,"S","Y"
"MTMP504524",297,"S","Y"
"MTMRL6010",0,"N","Y"
"OUT92443",0,"N","Y"
"OUT96217",6,"S","Y"
"OUT98200",0,"N","Y"
"OUT98418",0,"N","Y"
"SPE4726",0,"N","Y"
"FEDF127RS",271,"S","Y"
"FEDF2072B",0,"S","Y"
"FEDH1608",0,"S","Y"
"FEDP1294",0,"N","Y"
"FEDP1564",0,"N","Y"
"FEDP470T2",0,"N","Y"
"FEDP7RE",0,"S","Y"
"FEDPF1545",0,"N","Y"
"HVZPM1002",3,"S","Y"
"HVZXCS1003",0,"N","Y"
"LOH102",0,"N","Y"
"RADDFTT0120",0,"N","Y"
"RADHN0110CS",22,"S","Y"
"RADEX5003",0,"N","Y"
"MSI80364",0,"N","Y"
"INSCFL110",0,"N","Y"
"STP4071",1316,"S","Y"
"UNC81542",0,"N","Y"
"SCP28701",0,"N","Y"
"SCP28704",0,"N","Y"
"WAR1TG",0,"N","Y"
"WAR201S",1,"S","Y"
"WAR202LM",8,"S","Y"
"WAR721G",0,"N","Y"
"WAR722G",0,"N","Y"
"WARA995G",0,"N","Y"
"WARA996G",0,"N","Y"
"WARM636S20MOA",0,"N","Y"
"WARM666M",2,"S","Y"
"WARM889843S",0,"N","Y"
"WARM894870S",0,"N","Y"
"WARM902802G",0,"N","Y"
"WARM902830G",0,"N","Y"
"WARM902901S",0,"N","Y"
"STR61200",0,"N","Y"
"STR75711",0,"N","Y"
"STR90509",0,"N","Y"
"SMICCKS",0,"N","Y"
"CHA40911",0,"N","Y"
"WVR49336",0,"N","Y"
"RUG90270",15,"S","Y"
"RUG90285",0,"S","Y"
"RUG90288",0,"N","Y"
"PROPM065",21,"S","Y"
"PROPM126B",0,"N","Y"
"STR45637",0,"N","Y"
"STR75835",0,"N","Y"
"STR14055",0,"N","Y"
"KOL15510",16,"S","Y"
"CHA45846",0,"N","Y"
"PAC02433",0,"N","Y"
"BCY34512",0,"S","Y"
"BCY24323",0,"N","Y"
"BERJMPX4S4E",0,"N","Y"
"MOS92056",0,"N","Y"
"MOS95068",0,"N","Y"
"SAK970",0,"N","Y"
"SPRXD5016",26,"S","Y"
"SPRXD0923",0,"S","Y"
"SPRXD1923",0,"S","Y"
"TEX14170",12,"N","Y"
"TEX14212",0,"N","Y"
"TEX14262",0,"N","Y"
"TEX14564",0,"N","Y"
"TEX14567",12,"N","Y"
"TEX15028",0,"N","Y"
"TEX15110",3,"N","Y"
"TEX22410",0,"N","Y"
"TEX33405",0,"N","Y"
"KIM1000020A",0,"N","Y"
"KIM1000133A",182,"S","Y"
"KIM1000367A",0,"N","Y"
"MEPML10666",0,"N","Y"
"TRJTA31H",5,"S","Y"
"CRMLG432",9,"S","Y"
"LEU66420",4,"S","Y"
"LEU66860",0,"N","Y"
"MOS95010",0,"N","Y"
"MSI80344",0,"N","Y"
"CHA40418",38,"S","Y"
"STR74300",0,"N","Y"
"STR76135",0,"N","Y"
"STR76811",0,"N","Y"
"TRJTR20G",3,"S","Y"
"TRJTR24R",9,"S","Y"
"DOS108021",0,"N","Y"
"DOS44860",0,"N","Y"
"ATITSG0300",4,"S","Y"
"BERS5C60387",0,"N","Y"
"TRJRM35",0,"S","Y"
"STKQAS1310",0,"N","Y"
"BOB10634",0,"S","Y"
"BOY00942",14,"S","Y"
"MILBK81007",0,"N","Y"
"RED67100",2,"S","Y"
"RED67115",0,"S","Y"
"TRJTA31RCOM150CPG",8,"S","Y"
"ATIA5101320",0,"N","Y"
"CLTSP56962B",0,"N","Y"
"SAV55159",0,"N","Y"
"TRJTR113",0,"N","Y"
"HVZCZ2110G",0,"N","Y"
"KER1770X",0,"N","Y"
"WVR99693",4,"S","Y"
"PEAPGFI30SF",0,"N","Y"
"TSI26802",0,"N","Y"
"DOS1010562",0,"N","Y"
"HOPER1736CH",0,"N","Y"
"HOPER2738CH",0,"N","Y"
"STR88033",9,"S","Y"
"BLK20EMR1BK",0,"N","Y"
"BLK20LO03BK",0,"N","Y"
"BLK20PM03DE",0,"N","Y"
"BLK20TB03BK",0,"N","Y"
"BLK30EV05BK",0,"N","Y"
"BLK30EV08BK",0,"N","Y"
"BLK40AH10BKR",4,"S","Y"
"BLK40AH16BKL",0,"N","Y"
"BLK40CL01ODR",0,"N","Y"
"BLK40HS16BKMD",10,"S","Y"
"BLK40QD32BKL",0,"N","Y"
"BLK40SC02CTL",0,"N","Y"
"BLK410509BKL",0,"S","Y"
"BLK410519BKR",2,"S","Y"
"BLK672540FG",0,"N","Y"
"BLK672556FG",0,"N","Y"
"BLK70GS08BK",0,"N","Y"
"BLK70GS13BK",0,"N","Y"
"BLK73IP07BKL",4,"S","Y"
"BLK73IR08BKL",0,"N","Y"
"BLK74BC00BK",0,"N","Y"
"BLK75FL004FG",0,"N","Y"
"BLK87PP01RRLG",0,"N","Y"
"BLK87PP01WHSM",0,"N","Y"
"BLK88CS03BLSM",0,"N","Y"
"BLK88TS01NA3XL",0,"N","Y"
"BLK90IN04WB",0,"N","Y"
"BLK90IN05GB",0,"N","Y"
"BLK90RC00FG",0,"N","Y"
"BLK90RWBVR",0,"N","Y"
"DEW35A",0,"N","Y"
"DEW50C54",0,"N","Y"
"DEW9LB",0,"N","Y"
"DEWBB22N",0,"N","Y"
"DEWBB38P",0,"N","Y"
"DEWBB41N",0,"N","Y"
"DEWBCH308",0,"N","Y"
"DEWBCH68",0,"N","Y"
"DEWCT1",0,"N","Y"
"DEWFK223",0,"N","Y"
"DEWFK68",0,"N","Y"
"DEWLGPH",0,"N","Y"
"DEWM141",0,"N","Y"
"DEWO1",0,"N","Y"
"TAPAK0679",0,"N","Y"
"TAPBIP90201",16,"S","Y"
"TAPSTK09161DE",0,"N","Y"
"CMK12131",23,"S","Y"
"PROSAIA7",220,"S","Y"
"ALN10516",0,"N","Y"
"ALN1064",0,"S","Y"
"ALN35652",0,"N","Y"
"ALN4146",0,"N","Y"
"ALN8293",10,"S","Y"
"FIO1235ST2",0,"N","Y"
"ZIP20492",0,"N","Y"
"ZIP204B",0,"N","Y"
"ZIP20855",0,"N","Y"
"STKTD32GGC",0,"N","Y"
"STKP24HGBE",0,"N","Y"
"STKP40HGGC",0,"N","Y"
"CRK9070",0,"N","Y"
"CRK9070KC",0,"N","Y"
"CRK9094",0,"N","Y"
"RDM47173",0,"N","Y"
"RDM47223",0,"N","Y"
"TUF5075TTA10",1,"S","Y"
"TUF7002BP6327",5,"S","Y"
"TUF7721BWV",0,"N","Y"
"TUF7722BWH",0,"N","Y"
"MAGXL50S3116",0,"N","Y"
"ATVPSRGC",0,"N","Y"
"ATVTMP1",2,"S","Y"
"BLK20EP00BK",0,"N","Y"
"BLK31RV01BK",0,"N","Y"
"LEU111360",3,"S","Y"
"LEU68140",0,"N","Y"
"ALG12151",60,"S","Y"
"HOPBVGO2",0,"N","Y"
"HOPHOPPES4",0,"N","Y"
"MIL27651",0,"N","Y"
"LEU110290",1,"S","Y"
"DANDD06008",0,"N","Y"
"DANDD9094",0,"N","Y"
"BUR200330",11,"S","Y"
"TRJTA648MGOM2",0,"N","Y"
"MTMBH16",0,"N","Y"
"MTMRMLD5016T",0,"N","Y"
"CHA41900",0,"N","Y"
"CHA44802",0,"N","Y"
"ATIA5101351",0,"N","Y"
"ATIA5102330",0,"N","Y"
"TROSGRIAXP00GT00",0,"N","Y"
"TROSGRITRGA0BT00",0,"S","Y"
"TROSM7ACUK00FT01",0,"N","Y"
"TROSMOUCOM00BT00",0,"N","Y"
"TROSSIGFBSFHBT02",0,"N","Y"
"TROSSIGFBSFHFT01",0,"N","Y"
"STR76413",0,"N","Y"
"STR90611",0,"N","Y"
"KER1080ORX",0,"N","Y"
"HOR044117",0,"N","Y"
"HOR044123",0,"N","Y"
"HOR044505",0,"N","Y"
"HOR050130",0,"N","Y"
"HOR060006",0,"N","Y"
"HOR070905",0,"N","Y"
"HOR095314",0,"N","Y"
"HOR67273",0,"N","Y"
"HOR7125",0,"N","Y"
"HOR7145",0,"N","Y"
"HOR86246",0,"S","Y"
"HOR86281",0,"N","Y"
"SECS1005PK",0,"N","Y"
"STKQAS1000",2,"S","Y"
"MAGASXX808",0,"N","Y"
"MAGSP2P117",0,"N","Y"
"MAGXL100S3017",0,"N","Y"
"HVZNV1911",0,"N","Y"
"BOY31103",0,"N","Y"
"TRUTG399E",0,"N","Y"
"TRUTG76AN",0,"N","Y"
"TRUTG76C",0,"N","Y"
"TRUTG949D",0,"N","Y"
"TROSRAI308A3FT00",0,"N","Y"
"TROVTACMK1CT",0,"N","Y"
"TUF7973BPA",0,"N","Y"
"STR90670",0,"N","Y"
"PEL90193",0,"N","Y"
"MEPML10997",0,"N","Y"
"MEPML11420",0,"N","Y"
"MEPML34662",0,"N","Y"
"LEU67810",1,"S","Y"
"OBDOB1091BLK",0,"N","Y"
"TAPMAG0601PACK10",0,"N","Y"
"TAU510809C13",0,"N","Y"
"TAU510708",0,"N","Y"
"BERGU6D228687XL",0,"N","Y"
"BERLU20756177XXL",0,"S","Y"
"BERP200710187XL",1,"S","Y"
"BERPU34701986L",0,"S","Y"
"BERPU34701986XXL",1,"S","Y"
"SIM800202",349,"S","Y"
"WVR849809",0,"N","Y"
"BUSET3124FG",9,"S","Y"
"MILDT00722",0,"N","Y"
"LEU113877",0,"N","Y"
"LEU113880",0,"N","Y"
"LEU114412",2,"S","Y"
"RED114503",0,"N","Y"
"BUR300235",94,"S","Y"
"ATIA5102346",0,"N","Y"
"ATIA5102348",2,"S","Y"
"FIV56936328",0,"N","Y"
"FIV594093283XL",0,"N","Y"
"FIV62067W1603XT",0,"N","Y"
"FIV6430401918",0,"N","Y"
"FIV6430475012",0,"N","Y"
"FIV6435919010",0,"N","Y"
"FIV643591906L",0,"N","Y"
"FIV6436001810",0,"N","Y"
"FIV643600184",0,"N","Y"
"FIV643600186L",0,"N","Y"
"FIV71001T162XL",0,"N","Y"
"FIV711687505XLT",0,"N","Y"
"FIV71168750LS",0,"N","Y"
"FIV71177010M",0,"N","Y"
"FIV71177019M",0,"N","Y"
"FIV71177160L",0,"N","Y"
"FIV71177750LT",0,"N","Y"
"FIV71183010MS",0,"N","Y"
"FIV711831602XL",0,"N","Y"
"FIV40123019L",0,"N","Y"
"FIV48099033S",0,"N","Y"
"FIV481120193XL",0,"N","Y"
"FIV481121204XL",0,"N","Y"
"FIV481127242XL",0,"N","Y"
"FIV481211693XL",0,"N","Y"
"FIV48124019S",0,"N","Y"
"FIV52029019",0,"N","Y"
"LEU114710",0,"N","Y"
"BLK32B400ODST3A4C",0,"N","Y"
"BLK32B500ODST3A4C",0,"N","Y"
"BLK32BV00CTST3A5C",0,"N","Y"
"BLK415600BKR",0,"N","Y"
"BLK415607BKR",0,"N","Y"
"BLK44H110PLL",0,"N","Y"
"BLK44H505BKL",0,"N","Y"
"BLK44H525BWR",0,"N","Y"
"BLK67255300",0,"N","Y"
"BLK71BP09BK",0,"N","Y"
"BLK83BT02SG070M",0,"N","Y"
"BLK83BT02SG090W",0,"N","Y"
"BLK83BT02SG130W",0,"N","Y"
"BLK86TP02CB3436",0,"N","Y"
"BLK86TP02CB4030",0,"N","Y"
"BLK87HP17DD3830",0,"N","Y"
"BLK87HP17DD4232",0,"N","Y"
"BLK88CP02BKLG",0,"N","Y"
"BLK88CP02HGXL",0,"N","Y"
"BLK88CP02RBSM",0,"N","Y"
"BLK88CP02WH3XL",0,"N","Y"
"BLK88CS03KBMD",0,"N","Y"
"BLK88PP02GW2XL",0,"N","Y"
"BLK88TS01CBSM",0,"N","Y"
"BLK90ST00WHMD",0,"N","Y"
"LET931017",0,"N","Y"
"CAL445000",0,"N","Y"
"LOC222300",0,"N","Y"
"TIP751235R",0,"N","Y"
"WHE589922",0,"N","Y"
"BRN1130023",0,"N","Y"
